comparison,point_difference,ci_lower,ci_upper,valid_repetitions,na_repetitions
P@10(A1)-P@10(A0),-0.021435452793834298,-0.03239799173414827,-0.011652819647950407,2000,0
P@10(A2)-P@10(A0),-0.019026974951830478,-0.02685382559886932,-0.011616369665637515,2000,0
P@10(A3)-P@10(A0),-0.019267822736030893,-0.027331739020195988,-0.01161074988372841,2000,0
P@10(A4)-P@10(A0),0.013728323699421896,-0.0036380169857203764,0.031936010255415904,2000,0
P@10(A5)-P@10(A0),-0.006262042389210021,-0.023855980979597673,0.012912868482147078,2000,0
P@10(A5)-P@10(A4),-0.019990366088631917,-0.03299949938746749,-0.008237716544954508,2000,0
