K,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max
3,0.42897619047619046,0.012433348162074573,0.4,0.4626984126984127,0.045340994882979616,0.0013141530646937321,0.042278332354668234,0.04890529318010234
5,0.4281592751549833,0.00927748295595319,0.4062947067238913,0.45493562231759654,0.07531666806475966,0.0016319840414926487,0.07147051421860583,0.080026843385622
10,0.42710260115606935,0.006877182510934507,0.4079961464354528,0.44195568400770713,0.1487568157033806,0.0023952740361882457,0.14210217263652378,0.15393003942622263
20,0.4255461767626613,0.0038417689368188154,0.41683217477656404,0.43371400198609733,0.2875765455918128,0.002596199190924631,0.281687777870984,0.2930962167603389
