comparison,K,point_difference,ci_lower,ci_upper,valid_repetitions,na_repetitions
LONG_FIRST_F0-F0,3,0.15634920634920635,0.11349206349206342,0.19761904761904758,2000,0
LONG_FIRST_F0-DURATION,3,0.01825396825396819,-0.007936507936507908,0.04761904761904767,2000,0
LONG_FIRST_F0-F0,5,0.10061993323795904,0.07009321576427076,0.1325703385789222,2000,0
LONG_FIRST_F0-DURATION,5,0.07391511683357177,0.05197716125076632,0.09585809200682256,2000,0
LONG_FIRST_F0-F0,10,0.03829479768786126,0.0252853723147334,0.05026232893047428,2000,0
LONG_FIRST_F0-DURATION,10,0.09778420038535651,0.07800126771814259,0.11647302652524336,2000,0
LONG_FIRST_F0-F0,20,0.015516385302879798,0.00967286379503258,0.021525340557504873,2000,0
LONG_FIRST_F0-DURATION,20,0.08217477656405159,0.06507672152911015,0.09846224785695301,2000,0
