station_id,station_name,district,longitude,latitude,first_seen,last_seen,capacity_min,capacity_max,capacity_changed
1299,莊田信華三街口(潤見築社區),泰山區,121.43981170654297,25.04302978515625,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1300,華江一華江二路口(吾界社區),板橋區,121.47676849365234,25.035959243774414,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1301,華江二華江一路口(帝國花園廣場社區),板橋區,121.47522735595703,25.03544044494629,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1302,金城路二段61巷口(聯邦銀行),土城區,121.45076751708984,24.97886085510254,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1303,頂埔國小,土城區,121.41439819335938,24.95635986328125,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1304,香社一藝文街口(歡喜市社區),板橋區,121.45099639892578,25.02079963684082,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1305,龍形停車場,八里區,121.45130157470703,25.130409240722656,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1306,中正新月二街口(富江翠社區),板橋區,121.4543685913086,25.025859832763672,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1307,學府中正路口(A+社區),土城區,121.44534301757812,24.975509643554688,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1308,明志國小,泰山區,121.42626953125,25.045730590820312,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1309,環河西華江六路口(翠亨村社區),板橋區,121.47090148925781,25.036090850830078,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1310,縣民板城路口,板橋區,121.4532470703125,25.00391960144043,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1311,華南頂埔科技大樓,土城區,121.41716003417969,24.960460662841797,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1312,莊泰義東街口(新潤A5社區),泰山區,121.4391098022461,25.050249099731445,2026-01-01 00:00:00,2026-06-30 23:30:00,40,40,0
1313,厚德公園,三重區,121.49120330810547,25.071989059448242,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1314,廣停二停車場,林口區,121.37045288085938,25.07550048828125,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1315,柳堤公園,蘆洲區,121.46218872070312,25.087989807128906,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1316,瓦磘溝(福真里),中和區,121.49439239501953,25.00402069091797,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1317,福和橋,永和區,121.52784729003906,25.004539489746094,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1318,美麗新淡海影城,淡水區,121.43878173828125,25.197830200195312,2026-01-01 00:00:00,2026-04-01 13:00:00,41,41,0
1319,輔仁大學附設醫院,新莊區,121.43099975585938,25.039270401000977,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1320,重慶國小,板橋區,121.46253204345703,24.993730545043945,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1321,重陽公園,蘆洲區,121.48400115966797,25.0856990814209,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1322,青雲路451巷口(紐約艾美社區),土城區,121.45873260498047,24.974750518798828,2026-01-01 00:00:00,2026-06-30 23:30:00,41,41,0
1323,上林里(環河東路一段),永和區,121.52095031738281,25.014999389648438,2026-01-01 00:00:00,2026-06-30 23:30:00,42,42,0
